rep,arm,k,auc,n,p
3,cfs_cg,6,0.67064,408,11
3,vanilla,8,0.6619200000000001,408,11
3,causal,8,0.65272,408,11
3,iamb_soft_cg,8,0.65272,408,11
3,iamb_soft_fz,8,0.64808,408,11
3,cfs_iamb,8,0.52576,408,11
3,cfs_hiton_mb,8,0.52576,408,11
3,cfs_cg,8,0.65272,408,11
3,vanilla,10,0.676,408,11
3,causal,10,0.67032,408,11
3,iamb_soft_cg,10,0.6622399999999999,408,11
3,iamb_soft_fz,10,0.65072,408,11
3,cfs_iamb,10,0.52576,408,11
3,cfs_hiton_mb,10,0.52576,408,11
3,cfs_cg,10,0.6622399999999999,408,11
4,vanilla,2,0.73336,408,11
4,causal,2,0.73336,408,11
4,iamb_soft_cg,2,0.73336,408,11
4,iamb_soft_fz,2,0.73336,408,11
4,cfs_iamb,2,0.58728,408,11
4,cfs_hiton_mb,2,0.58728,408,11
4,cfs_cg,2,0.73336,408,11
4,vanilla,4,0.72824,408,11
4,causal,4,0.72824,408,11
4,iamb_soft_cg,4,0.77352,408,11
4,iamb_soft_fz,4,0.72824,408,11
4,cfs_iamb,4,0.6170399999999999,408,11
4,cfs_hiton_mb,4,0.6170399999999999,408,11
4,cfs_cg,4,0.7780800000000001,408,11
4,vanilla,6,0.75056,408,11
4,causal,6,0.75056,408,11
4,iamb_soft_cg,6,0.7788,408,11
4,iamb_soft_fz,6,0.75664,408,11
4,cfs_iamb,6,0.6181599999999999,408,11
4,cfs_hiton_mb,6,0.6181599999999999,408,11
4,cfs_cg,6,0.7798400000000001,408,11
4,vanilla,8,0.75368,408,11
4,causal,8,0.7641600000000001,408,11
4,iamb_soft_cg,8,0.7799200000000001,408,11
4,iamb_soft_fz,8,0.7556,408,11
4,cfs_iamb,8,0.6181599999999999,408,11
4,cfs_hiton_mb,8,0.6181599999999999,408,11
4,cfs_cg,8,0.7784,408,11
4,vanilla,10,0.7498400000000001,408,11
4,causal,10,0.7599199999999999,408,11
4,iamb_soft_cg,10,0.772,408,11
4,iamb_soft_fz,10,0.7510399999999999,408,11
4,cfs_iamb,10,0.6181599999999999,408,11
4,cfs_hiton_mb,10,0.6181599999999999,408,11
4,cfs_cg,10,0.776,408,11
5,vanilla,2,0.7420000000000001,408,11
5,causal,2,0.7420000000000001,408,11
5,iamb_soft_cg,2,0.7420000000000001,408,11
5,iamb_soft_fz,2,0.7420000000000001,408,11
5,cfs_iamb,2,0.5750400000000001,408,11
5,cfs_hiton_mb,2,0.5750400000000001,408,11
5,cfs_cg,2,0.7420000000000001,408,11
5,vanilla,4,0.68992,408,11
5,causal,4,0.68992,408,11
5,iamb_soft_cg,4,0.75408,408,11
5,iamb_soft_fz,4,0.68992,408,11
5,cfs_iamb,4,0.5804799999999999,408,11
5,cfs_hiton_mb,4,0.5804799999999999,408,11
5,cfs_cg,4,0.7663199999999999,408,11
5,vanilla,6,0.71168,408,11
5,causal,6,0.71168,408,11
5,iamb_soft_cg,6,0.7456,408,11
5,iamb_soft_fz,6,0.71168,408,11
5,cfs_iamb,6,0.58688,408,11
5,cfs_hiton_mb,6,0.58688,408,11
5,cfs_cg,6,0.7685600000000001,408,11
5,vanilla,8,0.71584,408,11
5,causal,8,0.71584,408,11
5,iamb_soft_cg,8,0.7470399999999999,408,11
5,iamb_soft_fz,8,0.71584,408,11
5,cfs_iamb,8,0.58688,408,11
5,cfs_hiton_mb,8,0.58688,408,11
5,cfs_cg,8,0.76528,408,11
5,vanilla,10,0.72112,408,11
5,causal,10,0.72112,408,11
5,iamb_soft_cg,10,0.7476,408,11
5,iamb_soft_fz,10,0.70264,408,11
5,cfs_iamb,10,0.58688,408,11
5,cfs_hiton_mb,10,0.58688,408,11
5,cfs_cg,10,0.77944,408,11
6,vanilla,2,0.70456,408,11
6,causal,2,0.70456,408,11
6,iamb_soft_cg,2,0.70456,408,11
6,iamb_soft_fz,2,0.70456,408,11
6,cfs_iamb,2,0.53592,408,11
6,cfs_hiton_mb,2,0.53592,408,11
6,cfs_cg,2,0.70456,408,11
6,vanilla,4,0.7232000000000001,408,11
6,causal,4,0.696,408,11
6,iamb_soft_cg,4,0.7232000000000001,408,11
6,iamb_soft_fz,4,0.7232000000000001,408,11
6,cfs_iamb,4,0.58512,408,11
6,cfs_hiton_mb,4,0.58512,408,11
6,cfs_cg,4,0.696,408,11
6,vanilla,6,0.70736,408,11
6,causal,6,0.71536,408,11
6,iamb_soft_cg,6,0.70112,408,11
6,iamb_soft_fz,6,0.70112,408,11
6,cfs_iamb,6,0.58512,408,11
6,cfs_hiton_mb,6,0.58512,408,11
6,cfs_cg,6,0.70384,408,11
6,vanilla,8,0.69528,408,11
6,causal,8,0.7114400000000001,408,11
6,iamb_soft_cg,8,0.69264,408,11
6,iamb_soft_fz,8,0.67856,408,11
6,cfs_iamb,8,0.58512,408,11
6,cfs_hiton_mb,8,0.58512,408,11
6,cfs_cg,8,0.7114400000000001,408,11
6,vanilla,10,0.68696,408,11
6,causal,10,0.73072,408,11
6,iamb_soft_cg,10,0.71296,408,11
6,iamb_soft_fz,10,0.69384,408,11
6,cfs_iamb,10,0.58512,408,11
6,cfs_hiton_mb,10,0.58512,408,11
6,cfs_cg,10,0.7293599999999999,408,11
7,vanilla,2,0.6896,408,11
7,causal,2,0.6896,408,11
7,iamb_soft_cg,2,0.6896,408,11
7,iamb_soft_fz,2,0.6896,408,11
7,cfs_iamb,2,0.59592,408,11
7,cfs_hiton_mb,2,0.59592,408,11
7,cfs_cg,2,0.6896,408,11
7,vanilla,4,0.71248,408,11
7,causal,4,0.68984,408,11
7,iamb_soft_cg,4,0.71248,408,11
7,iamb_soft_fz,4,0.71248,408,11
7,cfs_iamb,4,0.58968,408,11
7,cfs_hiton_mb,4,0.58272,408,11
7,cfs_cg,4,0.68984,408,11
7,vanilla,6,0.714,408,11
7,causal,6,0.68864,408,11
7,iamb_soft_cg,6,0.714,408,11
7,iamb_soft_fz,6,0.7099199999999999,408,11
7,cfs_iamb,6,0.59704,408,11
7,cfs_hiton_mb,6,0.5776,408,11
7,cfs_cg,6,0.68864,408,11
7,vanilla,8,0.70584,408,11
7,causal,8,0.70768,408,11
7,iamb_soft_cg,8,0.70584,408,11
7,iamb_soft_fz,8,0.7031999999999999,408,11
7,cfs_iamb,8,0.59216,408,11
7,cfs_hiton_mb,8,0.57544,408,11
7,cfs_cg,8,0.68512,408,11
7,vanilla,10,0.69496,408,11
7,causal,10,0.7038399999999999,408,11
7,iamb_soft_cg,10,0.71688,408,11
7,iamb_soft_fz,10,0.71624,408,11
7,cfs_iamb,10,0.59032,408,11
7,cfs_hiton_mb,10,0.57544,408,11
7,cfs_cg,10,0.6990399999999999,408,11
8,vanilla,2,0.7004,408,11
8,causal,2,0.7004,408,11
8,iamb_soft_cg,2,0.7004,408,11
8,iamb_soft_fz,2,0.7004,408,11
8,cfs_iamb,2,0.62864,408,11
8,cfs_hiton_mb,2,0.62864,408,11
8,cfs_cg,2,0.7004,408,11
8,vanilla,4,0.71104,408,11
8,causal,4,0.70832,408,11
8,iamb_soft_cg,4,0.71104,408,11
8,iamb_soft_fz,4,0.73096,408,11
8,cfs_iamb,4,0.62864,408,11
8,cfs_hiton_mb,4,0.62864,408,11
8,cfs_cg,4,0.70832,408,11
8,vanilla,6,0.7354400000000001,408,11
8,causal,6,0.7192799999999999,408,11
8,iamb_soft_cg,6,0.7354400000000001,408,11
8,iamb_soft_fz,6,0.73096,408,11
8,cfs_iamb,6,0.62864,408,11
8,cfs_hiton_mb,6,0.62864,408,11
8,cfs_cg,6,0.7215199999999999,408,11
8,vanilla,8,0.74112,408,11
8,causal,8,0.72568,408,11
8,iamb_soft_cg,8,0.73456,408,11
8,iamb_soft_fz,8,0.7328,408,11
8,cfs_iamb,8,0.62864,408,11
8,cfs_hiton_mb,8,0.62864,408,11
8,cfs_cg,8,0.72488,408,11
8,vanilla,10,0.7424,408,11
8,causal,10,0.72488,408,11
8,iamb_soft_cg,10,0.74008,408,11
8,iamb_soft_fz,10,0.72656,408,11
8,cfs_iamb,10,0.62864,408,11
8,cfs_hiton_mb,10,0.62864,408,11
8,cfs_cg,10,0.7257600000000001,408,11
9,vanilla,2,0.64096,408,11
9,causal,2,0.64096,408,11
9,iamb_soft_cg,2,0.64096,408,11
9,iamb_soft_fz,2,0.64096,408,11
9,cfs_iamb,2,0.5660000000000001,408,11
9,cfs_hiton_mb,2,0.5660000000000001,408,11
9,cfs_cg,2,0.64096,408,11
9,vanilla,4,0.7026399999999999,408,11
9,causal,4,0.7026399999999999,408,11
9,iamb_soft_cg,4,0.7026399999999999,408,11
9,iamb_soft_fz,4,0.7026399999999999,408,11
9,cfs_iamb,4,0.5624,408,11
9,cfs_hiton_mb,4,0.5624,408,11
9,cfs_cg,4,0.6759999999999999,408,11
9,vanilla,6,0.6796800000000001,408,11
9,causal,6,0.6796800000000001,408,11
9,iamb_soft_cg,6,0.6796800000000001,408,11
9,iamb_soft_fz,6,0.69712,408,11
9,cfs_iamb,6,0.5624,408,11
9,cfs_hiton_mb,6,0.5624,408,11
9,cfs_cg,6,0.70136,408,11
9,vanilla,8,0.6759999999999999,408,11
9,causal,8,0.6759999999999999,408,11
9,iamb_soft_cg,8,0.6759999999999999,408,11
9,iamb_soft_fz,8,0.67216,408,11
9,cfs_iamb,8,0.5624,408,11
9,cfs_hiton_mb,8,0.5624,408,11
9,cfs_cg,8,0.66616,408,11
9,vanilla,10,0.67944,408,11
9,causal,10,0.6803199999999999,408,11
9,iamb_soft_cg,10,0.6803199999999999,408,11
9,iamb_soft_fz,10,0.6619999999999999,408,11
9,cfs_iamb,10,0.5624,408,11
9,cfs_hiton_mb,10,0.5624,408,11
9,cfs_cg,10,0.6646399999999999,408,11
10,vanilla,2,0.67752,408,11
10,causal,2,0.67752,408,11
10,iamb_soft_cg,2,0.67752,408,11
10,iamb_soft_fz,2,0.68528,408,11
10,cfs_iamb,2,0.5703199999999999,408,11
10,cfs_hiton_mb,2,0.5703199999999999,408,11
10,cfs_cg,2,0.67752,408,11
10,vanilla,4,0.728,408,11
10,causal,4,0.728,408,11
10,iamb_soft_cg,4,0.7095199999999999,408,11
10,iamb_soft_fz,4,0.6928,408,11
10,cfs_iamb,4,0.55128,408,11
10,cfs_hiton_mb,4,0.55128,408,11
10,cfs_cg,4,0.7095199999999999,408,11
10,vanilla,6,0.7152799999999999,408,11
10,causal,6,0.7044,408,11
10,iamb_soft_cg,6,0.6815199999999999,408,11
10,iamb_soft_fz,6,0.69136,408,11
10,cfs_iamb,6,0.55128,408,11
10,cfs_hiton_mb,6,0.55128,408,11
10,cfs_cg,6,0.6815199999999999,408,11
10,vanilla,8,0.69976,408,11
10,causal,8,0.7077599999999998,408,11
10,iamb_soft_cg,8,0.66648,408,11
10,iamb_soft_fz,8,0.7145600000000001,408,11
10,cfs_iamb,8,0.55128,408,11
10,cfs_hiton_mb,8,0.55128,408,11
10,cfs_cg,8,0.66648,408,11
10,vanilla,10,0.6864,408,11
10,causal,10,0.6941599999999999,408,11
10,iamb_soft_cg,10,0.6776800000000001,408,11
10,iamb_soft_fz,10,0.71496,408,11
10,cfs_iamb,10,0.55128,408,11
10,cfs_hiton_mb,10,0.55128,408,11
10,cfs_cg,10,0.6776800000000001,408,11
11,vanilla,2,0.66616,408,11
11,causal,2,0.66616,408,11
11,iamb_soft_cg,2,0.66616,408,11
11,iamb_soft_fz,2,0.66616,408,11
11,cfs_iamb,2,0.5926400000000001,408,11
11,cfs_hiton_mb,2,0.5926400000000001,408,11
11,cfs_cg,2,0.66616,408,11
11,vanilla,4,0.67696,408,11
11,causal,4,0.68312,408,11
11,iamb_soft_cg,4,0.67696,408,11
11,iamb_soft_fz,4,0.6744800000000001,408,11
11,cfs_iamb,4,0.5900799999999999,408,11
11,cfs_hiton_mb,4,0.5900799999999999,408,11
11,cfs_cg,4,0.68584,408,11
11,vanilla,6,0.65824,408,11
11,causal,6,0.65824,408,11
11,iamb_soft_cg,6,0.65824,408,11
11,iamb_soft_fz,6,0.6781600000000001,408,11
11,cfs_iamb,6,0.5900799999999999,408,11
11,cfs_hiton_mb,6,0.5900799999999999,408,11
11,cfs_cg,6,0.6912,408,11
11,vanilla,8,0.6800799999999999,408,11
11,causal,8,0.67832,408,11
11,iamb_soft_cg,8,0.6800799999999999,408,11
11,iamb_soft_fz,8,0.68168,408,11
11,cfs_iamb,8,0.5900799999999999,408,11
11,cfs_hiton_mb,8,0.5900799999999999,408,11
11,cfs_cg,8,0.6856,408,11
11,vanilla,10,0.6776800000000001,408,11
11,causal,10,0.67696,408,11
11,iamb_soft_cg,10,0.68504,408,11
11,iamb_soft_fz,10,0.6632,408,11
11,cfs_iamb,10,0.5900799999999999,408,11
11,cfs_hiton_mb,10,0.5900799999999999,408,11
11,cfs_cg,10,0.68736,408,11
12,vanilla,2,0.65768,408,11
12,causal,2,0.65768,408,11
12,iamb_soft_cg,2,0.65768,408,11
12,iamb_soft_fz,2,0.65768,408,11
12,cfs_iamb,2,0.5640000000000001,408,11
12,cfs_hiton_mb,2,0.5640000000000001,408,11
12,cfs_cg,2,0.65768,408,11
12,vanilla,4,0.6870400000000001,408,11
12,causal,4,0.6870400000000001,408,11
12,iamb_soft_cg,4,0.6608799999999999,408,11
12,iamb_soft_fz,4,0.67008,408,11
12,cfs_iamb,4,0.5660000000000001,408,11
12,cfs_hiton_mb,4,0.5660000000000001,408,11
12,cfs_cg,4,0.6608799999999999,408,11
12,vanilla,6,0.65664,408,11
12,causal,6,0.67512,408,11
12,iamb_soft_cg,6,0.6470400000000001,408,11
12,iamb_soft_fz,6,0.67952,408,11
12,cfs_iamb,6,0.5660000000000001,408,11
12,cfs_hiton_mb,6,0.5660000000000001,408,11
12,cfs_cg,6,0.6470400000000001,408,11
12,vanilla,8,0.65256,408,11
12,causal,8,0.6695199999999999,408,11
12,iamb_soft_cg,8,0.6528800000000001,408,11
12,iamb_soft_fz,8,0.68696,408,11
12,cfs_iamb,8,0.5660000000000001,408,11
12,cfs_hiton_mb,8,0.5660000000000001,408,11
12,cfs_cg,8,0.6528800000000001,408,11
12,vanilla,10,0.65184,408,11
12,causal,10,0.66472,408,11
12,iamb_soft_cg,10,0.65568,408,11
12,iamb_soft_fz,10,0.6607999999999999,408,11
12,cfs_iamb,10,0.5660000000000001,408,11
12,cfs_hiton_mb,10,0.5660000000000001,408,11
12,cfs_cg,10,0.65568,408,11
13,vanilla,2,0.71264,408,11
13,causal,2,0.71264,408,11
13,iamb_soft_cg,2,0.71264,408,11
13,iamb_soft_fz,2,0.71264,408,11
13,cfs_iamb,2,0.6115200000000001,408,11
13,cfs_hiton_mb,2,0.6115200000000001,408,11
13,cfs_cg,2,0.71264,408,11
13,vanilla,4,0.71,408,11
13,causal,4,0.75512,408,11
13,iamb_soft_cg,4,0.75512,408,11
13,iamb_soft_fz,4,0.71,408,11
13,cfs_iamb,4,0.6095200000000001,408,11
13,cfs_hiton_mb,4,0.6095200000000001,408,11
13,cfs_cg,4,0.76616,408,11
13,vanilla,6,0.7658400000000001,408,11
13,causal,6,0.7658400000000001,408,11
13,iamb_soft_cg,6,0.7658400000000001,408,11
13,iamb_soft_fz,6,0.7658400000000001,408,11
13,cfs_iamb,6,0.6095200000000001,408,11
13,cfs_hiton_mb,6,0.6095200000000001,408,11
13,cfs_cg,6,0.7628800000000001,408,11
13,vanilla,8,0.76288,408,11
13,causal,8,0.752,408,11
13,iamb_soft_cg,8,0.752,408,11
13,iamb_soft_fz,8,0.76288,408,11
13,cfs_iamb,8,0.6095200000000001,408,11
13,cfs_hiton_mb,8,0.6095200000000001,408,11
13,cfs_cg,8,0.7515200000000001,408,11
13,vanilla,10,0.7519999999999999,408,11
13,causal,10,0.744,408,11
13,iamb_soft_cg,10,0.75184,408,11
13,iamb_soft_fz,10,0.7519999999999999,408,11
13,cfs_iamb,10,0.6095200000000001,408,11
13,cfs_hiton_mb,10,0.6095200000000001,408,11
13,cfs_cg,10,0.7400800000000001,408,11
14,vanilla,2,0.6223200000000001,408,11
14,causal,2,0.6223200000000001,408,11
14,iamb_soft_cg,2,0.6223200000000001,408,11
14,iamb_soft_fz,2,0.6223200000000001,408,11
14,cfs_iamb,2,0.6451199999999999,408,11
14,cfs_hiton_mb,2,0.6451199999999999,408,11
14,cfs_cg,2,0.6223200000000001,408,11
14,vanilla,4,0.6851200000000001,408,11
14,causal,4,0.6851200000000001,408,11
14,iamb_soft_cg,4,0.6851200000000001,408,11
14,iamb_soft_fz,4,0.67384,408,11
14,cfs_iamb,4,0.65368,408,11
14,cfs_hiton_mb,4,0.65368,408,11
14,cfs_cg,4,0.6851200000000001,408,11
14,vanilla,6,0.7036,408,11
14,causal,6,0.6879200000000001,408,11
14,iamb_soft_cg,6,0.67752,408,11
14,iamb_soft_fz,6,0.68744,408,11
14,cfs_iamb,6,0.65368,408,11
14,cfs_hiton_mb,6,0.65368,408,11
14,cfs_cg,6,0.67752,408,11
14,vanilla,8,0.68296,408,11
14,causal,8,0.66592,408,11
14,iamb_soft_cg,8,0.67184,408,11
14,iamb_soft_fz,8,0.6854399999999999,408,11
14,cfs_iamb,8,0.65368,408,11
14,cfs_hiton_mb,8,0.65368,408,11
14,cfs_cg,8,0.67184,408,11
14,vanilla,10,0.6909599999999999,408,11
14,causal,10,0.67432,408,11
14,iamb_soft_cg,10,0.6515200000000001,408,11
14,iamb_soft_fz,10,0.6854399999999999,408,11
14,cfs_iamb,10,0.65368,408,11
14,cfs_hiton_mb,10,0.65368,408,11
14,cfs_cg,10,0.6515200000000001,408,11
15,vanilla,2,0.7156,408,11
15,causal,2,0.7156,408,11
15,iamb_soft_cg,2,0.7156,408,11
15,iamb_soft_fz,2,0.7156,408,11
15,cfs_iamb,2,0.5568000000000001,408,11
15,cfs_hiton_mb,2,0.5704,408,11
15,cfs_cg,2,0.7156,408,11
15,vanilla,4,0.75792,408,11
15,causal,4,0.75792,408,11
15,iamb_soft_cg,4,0.77808,408,11
15,iamb_soft_fz,4,0.75792,408,11
15,cfs_iamb,4,0.55152,408,11
15,cfs_hiton_mb,4,0.5768,408,11
15,cfs_cg,4,0.7662399999999999,408,11
15,vanilla,6,0.73792,408,11
15,causal,6,0.73792,408,11
15,iamb_soft_cg,6,0.73792,408,11
15,iamb_soft_fz,6,0.73792,408,11
15,cfs_iamb,6,0.53944,408,11
15,cfs_hiton_mb,6,0.5768,408,11
15,cfs_cg,6,0.76976,408,11
15,vanilla,8,0.73136,408,11
15,causal,8,0.73136,408,11
15,iamb_soft_cg,8,0.75088,408,11
15,iamb_soft_fz,8,0.73136,408,11
15,cfs_iamb,8,0.53944,408,11
15,cfs_hiton_mb,8,0.5768,408,11
15,cfs_cg,8,0.7564,408,11
15,vanilla,10,0.7332799999999999,408,11
15,causal,10,0.7332799999999999,408,11
15,iamb_soft_cg,10,0.74784,408,11
15,iamb_soft_fz,10,0.7283999999999999,408,11
15,cfs_iamb,10,0.53944,408,11
15,cfs_hiton_mb,10,0.5768,408,11
15,cfs_cg,10,0.7613599999999999,408,11
16,vanilla,2,0.68328,408,11
16,causal,2,0.68328,408,11
16,iamb_soft_cg,2,0.68328,408,11
16,iamb_soft_fz,2,0.68328,408,11
16,cfs_iamb,2,0.54032,408,11
16,cfs_hiton_mb,2,0.54032,408,11
16,cfs_cg,2,0.68328,408,11
16,vanilla,4,0.6724,408,11
16,causal,4,0.6724,408,11
16,iamb_soft_cg,4,0.6724,408,11
16,iamb_soft_fz,4,0.6724,408,11
16,cfs_iamb,4,0.56664,408,11
16,cfs_hiton_mb,4,0.56664,408,11
16,cfs_cg,4,0.6856800000000001,408,11
16,vanilla,6,0.68136,408,11
16,causal,6,0.6919199999999999,408,11
16,iamb_soft_cg,6,0.68136,408,11
16,iamb_soft_fz,6,0.68136,408,11
16,cfs_iamb,6,0.56664,408,11
16,cfs_hiton_mb,6,0.56664,408,11
16,cfs_cg,6,0.71616,408,11
16,vanilla,8,0.69048,408,11
16,causal,8,0.69048,408,11
16,iamb_soft_cg,8,0.69048,408,11
16,iamb_soft_fz,8,0.69048,408,11
16,cfs_iamb,8,0.56664,408,11
16,cfs_hiton_mb,8,0.56664,408,11
16,cfs_cg,8,0.7103200000000001,408,11
16,vanilla,10,0.68856,408,11
16,causal,10,0.6708000000000001,408,11
16,iamb_soft_cg,10,0.66832,408,11
16,iamb_soft_fz,10,0.68856,408,11
16,cfs_iamb,10,0.56664,408,11
16,cfs_hiton_mb,10,0.56664,408,11
16,cfs_cg,10,0.68352,408,11
17,vanilla,2,0.7151200000000001,408,11
17,causal,2,0.7151200000000001,408,11
17,iamb_soft_cg,2,0.7151200000000001,408,11
17,iamb_soft_fz,2,0.7151200000000001,408,11
17,cfs_iamb,2,0.56168,408,11
17,cfs_hiton_mb,2,0.56168,408,11
17,cfs_cg,2,0.7151200000000001,408,11
17,vanilla,4,0.73792,408,11
17,causal,4,0.73792,408,11
17,iamb_soft_cg,4,0.7307999999999999,408,11
17,iamb_soft_fz,4,0.73792,408,11
17,cfs_iamb,4,0.55848,408,11
17,cfs_hiton_mb,4,0.55848,408,11
17,cfs_cg,4,0.7307999999999999,408,11
17,vanilla,6,0.7410399999999999,408,11
17,causal,6,0.7392,408,11
17,iamb_soft_cg,6,0.7532800000000001,408,11
17,iamb_soft_fz,6,0.73256,408,11
17,cfs_iamb,6,0.55848,408,11
