arm,member,nfeat,q_mass,auc,support
causal,32,8,0.53125,0.935,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""oldpeak"", ""sex"", ""thal=3""]"
causal,33,8,0.5687500000000001,0.928125,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""slope=1"", ""thal=3""]"
causal,34,8,0.55125,0.9268749999999999,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""slope=1"", ""thal=3""]"
causal,35,9,0.5611111111111111,0.925,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""slope=1"", ""thal=3""]"
causal,36,10,0.564,0.909375,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,37,10,0.564,0.909375,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,38,9,0.5333333333333333,0.93,"[""chest=4"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""slope=1"", ""thal=3""]"
causal,39,9,0.5355555555555556,0.883125,"[""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""resting_electrocardiographic_results=0"", ""sex"", ""thal=3""]"
causal,40,10,0.575,0.941875,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""slope=1"", ""thal=3""]"
causal,41,9,0.5711111111111111,0.909375,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,42,9,0.5711111111111111,0.9149999999999999,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,43,10,0.584,0.898125,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,44,9,0.5555555555555556,0.906875,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""thal=3""]"
causal,45,9,0.5355555555555556,0.92125,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3"", ""thal=7""]"
causal,46,9,0.5433333333333333,0.91,"[""chest=4"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,47,10,0.564,0.91,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,48,7,0.5914285714285715,0.925625,"[""chest=4"", ""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""thal=3""]"
causal,49,9,0.5733333333333334,0.9075,"[""exercise_induced_angina"", ""maximum_heart_rate_achieved"", ""number_of_major_vessels"", ""sex"", ""slope=1"", ""thal=3""]"
