param,value,seed,model,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
n_samples,100,8,gaussian,mut_5->mut_3;mut_5->mut_4;mut_6->mut_7,0.4,0.4040740740740741,0.26666666666666666,0.010752688172043012,0.0,0.0,0,-0.02757337634153148,0.0032921810699588477,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,100,8,logistic,mut_1->mut_3;mut_6->mut_0,0.5111111111111111,0.4077777777777778,0.24444444444444444,0.010752688172043012,0.0,0.0,0,-0.02757337634153148,0.003017832647462277,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,100,9,gaussian,mut_0->mut_4;mut_1->mut_4;mut_4->mut_2;mut_5->mut_1;mut_5->mut_4;mut_7->mut_6;mut_8->mut_7,0.5555555555555556,0.49431216931216926,0.37777777777777777,0.010869565217391304,0.125,0.2,1,0.22116293423234568,0.0014756944444444444,0.26086956521739124,0.0,0.42857142857142855,0.0,0.1875,0.0
n_samples,100,9,logistic,mut_1->mut_3;mut_1->mut_7;mut_7->Y,0.6,0.6098677248677249,0.37777777777777777,0.021739130434782608,0.125,0.18181818181818182,1,0.16422081026966037,0.0014756944444444444,0.1111111111111111,0.0,0.5,0.0,0.0625,0.0
n_samples,164,0,gaussian,mut_0->Y;mut_4->mut_2;mut_5->mut_3;mut_6->Y,0.6444444444444445,0.6776190476190478,0.3333333333333333,0.0,0.2,0.3333333333333333,2,0.42857142857142855,0.0014814814814814814,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,164,0,logistic,mut_0->Y;mut_6->Y;mut_8->mut_5,0.6222222222222222,0.6487301587301588,0.3111111111111111,0.0,0.2,0.3333333333333333,2,0.42857142857142855,0.001382716049382716,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,164,1,gaussian,mut_2->mut_4;mut_6->mut_0;mut_6->mut_5;mut_6->mut_8;mut_7->mut_2,0.8444444444444444,0.7547178130511464,0.5333333333333333,0.022222222222222223,0.0,0.0,0,-0.047619047619047616,0.0014773776546629731,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,164,1,logistic,mut_0->mut_4;mut_1->mut_6,0.8444444444444444,0.8149470899470899,0.4222222222222222,0.011111111111111112,0.1,0.16666666666666666,1,0.19047619047619047,0.0011695906432748538,0.10526315789473684,0.0,0.5,0.0,0.058823529411764705,0.0
n_samples,164,2,gaussian,mut_7->mut_1;mut_7->mut_3;mut_7->mut_6;mut_7->mut_8,0.6,0.5179276895943562,0.3333333333333333,0.010416666666666666,0.0,0.0,0,-0.020515248496555453,0.002754820936639118,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,164,2,logistic,mut_5->mut_8;mut_7->mut_4,0.5111111111111111,0.46649911816578477,0.24444444444444444,0.010416666666666666,0.0,0.0,0,-0.020515248496555453,0.00202020202020202,0.16666666666666669,0.0,0.5,0.0,0.1,0.0
n_samples,164,3,gaussian,mut_0->mut_8;mut_3->Y,0.7777777777777778,0.7031216931216931,0.4,0.010526315789473684,0.2,0.2857142857142857,1,0.29496308640500796,0.0012345679012345679,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,164,3,logistic,mut_3->Y;mut_4->mut_2;mut_6->mut_3;mut_6->mut_7,0.7333333333333333,0.629047619047619,0.4444444444444444,0.010526315789473684,0.2,0.2857142857142857,1,0.29496308640500796,0.0013717421124828531,0.0,1.0,0.0,1.0,0.0,1.0
n_samples,164,4,gaussian,mut_1->mut_0;mut_1->mut_3;mut_1->mut_4;mut_6->Y;mut_7->Y;mut_7->mut_6,0.5777777777777777,0.6405820105820106,0.3333333333333333,0.0,0.3333333333333333,0.5,4,0.5527707983925666,0.0011534025374855825,0.22222222222222224,0.8,0.5,1.0,0.14285714285714285,0.6666666666666666
n_samples,164,4,logistic,mut_0->mut_6;mut_0->mut_7;mut_5->Y;mut_6->Y;mut_7->Y;mut_7->mut_5;mut_7->mut_8,0.35555555555555557,0.5354497354497354,0.3111111111111111,0.011363636363636364,0.4166666666666667,0.5555555555555556,5,0.5545902854342513,0.0010765090349865436,0.22222222222222224,1.0,0.5,1.0,0.14285714285714285,1.0
n_samples,164,5,gaussian,mut_0->Y;mut_0->mut_8;mut_1->mut_5;mut_4->Y;mut_4->mut_1;mut_8->Y,0.7111111111111111,0.6750264550264551,0.4222222222222222,0.011235955056179775,0.36363636363636365,0.5,4,0.5059189470347648,0.0009574200050390527,0.09523809523809525,1.0,0.3333333333333333,1.0,0.05555555555555555,1.0
n_samples,164,5,logistic,mut_0->Y;mut_3->mut_7;mut_4->Y;mut_4->mut_2;mut_5->mut_1;mut_8->Y;mut_8->mut_3,0.6666666666666666,0.6194179894179894,0.4,0.0,0.36363636363636365,0.5333333333333333,4,0.5806214017078704,0.0009070294784580499,0.1818181818181818,1.0,0.5,1.0,0.1111111111111111,1.0
n_samples,164,6,gaussian,mut_5->mut_8;mut_7->mut_3;mut_7->mut_4,0.7333333333333333,0.4977777777777777,0.35555555555555557,0.01098901098901099,0.0,0.0,0,-0.0316069770620507,0.00210387902695595,0.0,0.0,0.0,0.0,0.0,0.0
n_samples,164,6,logistic,mut_2->mut_1;mut_4->mut_3;mut_6->mut_2;mut_6->mut_5;mut_7->Y,0.5777777777777777,0.45333333333333325,0.35555555555555557,0.01098901098901099,0.0,0.0,0,-0.0316069770620507,0.00210387902695595,0.11764705882352941,0.0,0.25,0.0,0.07692307692307693,0.0
n_samples,164,7,gaussian,mut_2->mut_7;mut_6->Y,0.6888888888888889,0.6266931216931216,0.3111111111111111,0.010638297872340425,0.16666666666666666,0.25,1,0.2646763180494774,0.0015873015873015873,0.0,0.6666666666666666,0.0,1.0,0.0,0.5
n_samples,164,7,logistic,mut_0->mut_5;mut_1->mut_7;mut_3->mut_6;mut_6->Y;mut_8->mut_2,0.7777777777777778,0.571137566137566,0.37777777777777777,0.031914893617021274,0.16666666666666666,0.2,1,0.16330836399097562,0.001927437641723356,0.0,0.6666666666666666,0.0,1.0,0.0,0.5
n_samples,164,8,gaussian,mut_5->mut_0;mut_5->mut_6,0.4222222222222222,0.44851851851851854,0.24444444444444444,0.010752688172043012,0.0,0.0,0,-0.02757337634153148,0.003017832647462277,0.0,0.0,0.0,0.0,0.0,0.0
