param,value,seed,model,sd,sc,shd,fpr,tpr,f1,f1_bin_bin,precision_bin_bin,recall_bin_bin,f1_bin_cont,precision_bin_cont,recall_bin_cont
n_mix,4,4,gaussian,0.6,0.6615343915343916,0.37777777777777777,0.022727272727272728,0.25,0.35294117647058826,0.0,0.0,0.0,0.667,0.5,1.0
n_mix,4,4,logistic,0.4222222222222222,0.4608994708994709,0.26666666666666666,0.011363636363636364,0.5,0.631578947368421,0.348,0.444,0.286,0.5,0.333,1.0
n_mix,4,5,gaussian,0.8888888888888888,0.7705291005291006,0.4666666666666667,0.02247191011235955,0.18181818181818182,0.26666666666666666,0.0,0.0,0.0,0.571,0.5,0.667
n_mix,4,5,logistic,0.8444444444444444,0.7001587301587302,0.4222222222222222,0.02247191011235955,0.2727272727272727,0.375,0.167,0.333,0.111,0.444,0.333,0.667
n_mix,4,6,gaussian,0.7333333333333333,0.5162962962962964,0.26666666666666666,0.0,0.0,0.0,0.143,1.0,0.077,0.0,0.0,0.0
n_mix,4,6,logistic,0.5555555555555556,0.42,0.3333333333333333,0.0,0.1111111111111111,0.2,0.118,0.25,0.077,0.0,0.0,0.0
n_mix,4,7,gaussian,0.6666666666666666,0.6493386243386242,0.35555555555555557,0.0,0.16666666666666666,0.2857142857142857,0.125,0.25,0.083,0.0,0.0,0.0
n_mix,4,7,logistic,0.6666666666666666,0.6173280423280423,0.26666666666666666,0.0,0.3333333333333333,0.5,0.25,0.5,0.167,0.333,0.25,0.5
n_mix,4,8,gaussian,0.5555555555555556,0.3914814814814815,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,8,logistic,0.28888888888888886,0.3796296296296296,0.2,0.021505376344086023,0.42857142857142855,0.5,0.4,0.5,0.333,0.0,0.0,0.0
n_mix,4,9,gaussian,0.6444444444444445,0.646904761904762,0.37777777777777777,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_mix,4,9,logistic,0.4666666666666667,0.5083862433862434,0.35555555555555557,0.03260869565217391,0.0,0.0,0.333,0.5,0.25,0.0,0.0,0.0
n_mix,5,0,gaussian,0.7111111111111111,0.5635449735449735,0.3333333333333333,0.0,0.3,0.46153846153846156,0.105,0.167,0.077,0.5,0.333,1.0
n_mix,5,0,logistic,0.6666666666666666,0.4142857142857143,0.28888888888888886,0.011111111111111112,0.3,0.42857142857142855,0.286,0.375,0.231,0.4,0.25,1.0
n_mix,5,1,gaussian,0.9333333333333333,0.7715608465608466,0.4444444444444444,0.0,0.1,0.18181818181818182,0.1,0.333,0.059,0.0,0.0,0.0
