rep,arm,mu_rel,auc_source,auc_target,gap
0,vanilla,0.0,0.8806742573832418,0.5428912823016828,0.33778297508155897
0,causal,0.5,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,1.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,2.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,4.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,8.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,16.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
0,causal,32.0,0.8814341786143546,0.5449721787002061,0.3364619999141485
1,vanilla,0.0,0.8823242675732427,0.5579115165406537,0.32441275103258893
1,causal,0.5,0.8823242675732427,0.5579115165406537,0.32441275103258893
1,causal,1.0,0.8823242675732427,0.5579115165406537,0.32441275103258893
1,causal,2.0,0.8828716487325627,0.5581989877935283,0.32467266093903446
1,causal,4.0,0.8835542727778505,0.5576541704803879,0.3259001022974626
1,causal,8.0,0.887354213296619,0.5639118780429648,0.3234423352536542
1,causal,16.0,0.887354213296619,0.5639118780429648,0.3234423352536542
1,causal,32.0,0.8866690254051517,0.5644611820869194,0.32220784331823227
2,vanilla,0.0,0.8717188514225436,0.5722476354277316,0.29947121599481197
2,causal,0.5,0.8717188514225436,0.5722476354277316,0.29947121599481197
2,causal,1.0,0.8697764421117281,0.566197909994551,0.3035785321171771
2,causal,2.0,0.8697764421117281,0.566197909994551,0.3035785321171771
2,causal,4.0,0.8697764421117281,0.566197909994551,0.3035785321171771
2,causal,8.0,0.8697764421117281,0.566197909994551,0.3035785321171771
2,causal,16.0,0.8738377876760902,0.5738461849646854,0.2999916027114048
2,causal,32.0,0.8738377876760902,0.5738461849646854,0.2999916027114048
3,vanilla,0.0,0.8793898909155065,0.5462262121363084,0.33316367877919806
3,causal,0.5,0.8797062480049196,0.5464898959289888,0.3332163520759308
3,causal,1.0,0.8797062480049196,0.5464898959289888,0.3332163520759308
3,causal,2.0,0.8797062480049196,0.5464898959289888,0.3332163520759308
3,causal,4.0,0.8797062480049196,0.5464898959289888,0.3332163520759308
3,causal,8.0,0.8797062480049196,0.5464898959289888,0.3332163520759308
3,causal,16.0,0.8793902082245227,0.5453875644057976,0.33400264381872513
3,causal,32.0,0.8793902082245227,0.5453875644057976,0.33400264381872513
4,vanilla,0.0,0.8738726407202931,0.5529257349698103,0.3209469057504828
4,causal,0.5,0.8686626819363963,0.5411114659853082,0.32755121595108805
4,causal,1.0,0.8686626819363963,0.5411114659853082,0.32755121595108805
4,causal,2.0,0.8686626819363963,0.5411114659853082,0.32755121595108805
4,causal,4.0,0.8686626819363963,0.5411114659853082,0.32755121595108805
4,causal,8.0,0.8686626819363963,0.5411114659853082,0.32755121595108805
4,causal,16.0,0.868884123435385,0.541018387553041,0.327865735882344
4,causal,32.0,0.868884123435385,0.541018387553041,0.327865735882344
5,vanilla,0.0,0.8677727396516628,0.5579334182347155,0.30983932141694726
5,causal,0.5,0.8678288977493889,0.5580098053246331,0.3098190924247558
5,causal,1.0,0.8678288977493889,0.5580098053246331,0.3098190924247558
5,causal,2.0,0.8690957761260454,0.5592238467813861,0.30987192934465924
5,causal,4.0,0.8690957761260454,0.5592238467813861,0.30987192934465924
5,causal,8.0,0.8689034497375967,0.5588434209580813,0.31006002877951544
5,causal,16.0,0.8689034497375967,0.5588434209580813,0.31006002877951544
5,causal,32.0,0.8689034497375967,0.5588434209580813,0.31006002877951544
6,vanilla,0.0,0.8703139796401514,0.5604092684659091,0.30990471117424234
6,causal,0.5,0.8702243134469696,0.560622040719697,0.3096022727272726
6,causal,1.0,0.8702243134469696,0.560622040719697,0.3096022727272726
6,causal,2.0,0.8699869791666668,0.558134765625,0.3118522135416668
