split,arm,mu_hat_rel,auc,brier,ece,nfeat
0,vanilla,0.0,0.7773778998778998,0.19127981635027097,0.01851050518460885,10
0,causal,0.0,0.7773778998778998,0.19127981635027097,0.01851050518460885,10
1,vanilla,0.0,0.7723915343915344,0.1937242652581252,0.020061913466353543,10
1,causal,0.0,0.7723915343915344,0.1937242652581252,0.020061913466353543,10
2,vanilla,0.0,0.7721684981684982,0.19388094524077165,0.02418301605507973,10
2,causal,0.01873817422860384,0.7741086691086692,0.19317745684618146,0.02338292817998866,10
3,vanilla,0.0,0.776628205128205,0.19200256742992225,0.015666840347244446,10
3,causal,0.01,0.776628205128205,0.192002569953224,0.01566692984798427,10
4,vanilla,0.0,0.7746542531542532,0.1929510045778651,0.010166670476731747,10
4,causal,0.01,0.7746542531542532,0.19295100457765632,0.010166670465378795,10
5,vanilla,0.0,0.7686312576312577,0.1953473396218442,0.023814950493070114,10
5,causal,0.0,0.7686312576312577,0.1953473396218442,0.023814950493070114,10
6,vanilla,0.0,0.789035816035816,0.18657007556725627,0.02180802359574066,10
6,causal,0.0,0.789035816035816,0.18657007556725627,0.02180802359574066,10
7,vanilla,0.0,0.7745506715506715,0.19236700595488535,0.011599896214820871,10
7,causal,0.01,0.7745506715506715,0.1923670059548853,0.011599896214818816,10
8,vanilla,0.0,0.7713492063492065,0.19415520949827028,0.02781865891890851,10
8,causal,0.0,0.7713492063492065,0.19415520949827028,0.02781865891890851,10
9,vanilla,0.0,0.7778494098494099,0.19123215086407888,0.02858618481626448,10
9,causal,0.01873817422860384,0.777043549043549,0.19051624612936277,0.02119530238227839,10
