split,k,mu_index,mu_rel,cv_auc,cv_log_loss,cv_stability
0,2,0,0.0,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,1,0.01,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,2,0.023101297000831605,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,3,0.0533669923120631,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,4,0.12328467394420657,0.7323471637946368,0.5947006775527478,0.5999999999999999
0,2,5,0.2848035868435802,0.7323471637946368,0.5947006775175555,0.5999999999999999
0,2,6,0.6579332246575682,0.7323471637946368,0.5947006823507077,0.5999999999999999
0,2,7,1.5199110829529332,0.7323471637946368,0.594700685534802,0.5999999999999999
0,2,8,3.511191734215131,0.7323471637946368,0.594700685534802,0.5999999999999999
0,2,9,8.111308307896872,0.7121324133979959,0.6074582333873539,0.5999999999999999
0,2,10,18.73817422860385,0.7121324133979959,0.6074582333873539,0.5999999999999999
0,2,11,43.287612810830616,0.7121324133979959,0.6074582333873539,0.5999999999999999
0,2,12,100.0,0.7121324133979959,0.6074582333873539,0.5999999999999999
0,4,0,0.0,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,1,0.01,0.7662534558294598,0.5751589201398042,0.5371428571428571
0,4,2,0.023101297000831605,0.7662534558294598,0.5751589201398041,0.5371428571428571
0,4,3,0.0533669923120631,0.7663472952343806,0.574957525116511,0.4057142857142857
0,4,4,0.12328467394420657,0.7666616190947659,0.574869576807733,0.6133333333333333
0,4,5,0.2848035868435802,0.7666616190947659,0.5748695767534475,0.6133333333333333
0,4,6,0.6579332246575682,0.7657178845916188,0.5760349007154882,0.6399999999999999
0,4,7,1.5199110829529332,0.7418219912978318,0.595810944402148,0.3076190476190476
0,4,8,3.511191734215131,0.7371108487078544,0.5981883666577847,0.25357142857142856
0,4,9,8.111308307896872,0.7152348356753181,0.6103658844806679,0.45999999999999996
0,4,10,18.73817422860385,0.7152348356753181,0.6103658844806679,0.45999999999999996
0,4,11,43.287612810830616,0.7152348356753181,0.6103658844806679,0.45999999999999996
0,4,12,100.0,0.7152348356753181,0.6103658844806679,0.45999999999999996
0,6,0,0.0,0.776166547013639,0.5672142256435826,0.6476190476190476
0,6,1,0.01,0.776166547013639,0.5672142256435866,0.6476190476190476
0,6,2,0.023101297000831605,0.776166547013639,0.5672142235008081,0.6476190476190476
0,6,3,0.0533669923120631,0.7784503975695077,0.5650500213542969,0.7285714285714286
0,6,4,0.12328467394420657,0.7768097338273753,0.5673469618276374,0.5761904761904761
0,6,5,0.2848035868435802,0.7724938319757179,0.5703742251066755,0.5928571428571429
0,6,6,0.6579332246575682,0.7718795976229408,0.5711517141299737,0.8857142857142858
0,6,7,1.5199110829529332,0.7579631240083978,0.5830361231181478,0.6171428571428572
0,6,8,3.511191734215131,0.7492325926275163,0.5927583583295843,0.49404761904761907
