split,k,arm,mu_hat_rel,mu_star,intercept,multiplier,auc,brier,ece,nfeat
0,2,vanilla,0.0,0.0,-4.0,4.191464282063249,0.7232756258562709,0.2064254670326246,0.010515201354216824,2
0,2,causal,0.0,0.0,-4.0,4.191464282063249,0.7232756258562709,0.2064254670326246,0.010515201354216824,2
0,4,vanilla,0.0,0.0,-9.0,3.5760026039835076,0.749681986133599,0.20132122134737912,0.028166879100794264,4
0,4,causal,0.12328467394420657,11.835328698643831,-9.0,3.576002461907859,0.749681986133599,0.20132122164827337,0.028166882865305914,4
0,6,vanilla,0.0,0.0,-9.0,3.925434924387265,0.7628899406318761,0.19664320302971508,0.03566503219065364,6
0,6,causal,0.0533669923120631,5.123231261958058,-9.0,3.5987106802013167,0.7642533316726865,0.1961321668625487,0.026458145475871685,6
0,8,vanilla,0.0,0.0,-9.0,4.424476371123761,0.7710084277826214,0.19406329206579834,0.029103546349368414,8
0,8,causal,0.0533669923120631,5.123231261958058,-9.0,4.4245359312771635,0.7710084277826214,0.19406321944097846,0.029101605289673958,8
0,10,vanilla,0.0,0.0,-11.0,5.059610939247015,0.7716801594220949,0.19384702787525931,0.03219730201533615,10
0,10,causal,0.023101297000831605,2.217724512079834,-11.0,5.059610939247008,0.7716801594220949,0.19384702787525931,0.03219730201533634,10
1,2,vanilla,0.0,0.0,-2.0,2.0234892725117346,0.7288852908207746,0.20408554877554871,0.004258391058260522,2
1,2,causal,3.511191734215131,319.5184478135769,-2.0,2.0234892720695496,0.7288852908207746,0.20408554877571944,0.004258391075260295,2
1,4,vanilla,0.0,0.0,-5.0,3.0513839121264614,0.7508182837215095,0.2011372049951,0.03062973114041003,4
1,4,causal,0.12328467394420659,11.2189053289228,-6.0,3.50203661012887,0.749972599327438,0.20027586533994485,0.019992599409781167,4
1,6,vanilla,0.0,0.0,-9.0,3.7524686690391764,0.7701332669074604,0.19464982448835366,0.014608230476841653,6
1,6,causal,0.053366992312063107,4.856396300397742,-9.0,3.752460035389109,0.7701332669074604,0.19464982831950747,0.014608260136256952,6
1,8,vanilla,0.0,0.0,-7.0,5.126334033951154,0.7721501224727031,0.19408338899650882,0.020191574058375985,8
1,8,causal,0.0,0.0,-7.0,5.126334033951154,0.7721501224727031,0.19408338899650882,0.020191574058375985,8
1,10,vanilla,0.0,0.0,-8.0,5.525586741490753,0.7769979657076431,0.1919564712521625,0.019123013446341625,10
1,10,causal,0.0,0.0,-8.0,5.525586741490753,0.7769979657076431,0.1919564712521625,0.019123013446341625,10
2,2,vanilla,0.0,0.0,-2.0,1.9822354003274727,0.7270619006102877,0.20544301833584772,0.016517794212640637,2
2,2,causal,3.511191734215131,303.71808500960884,-2.0,1.9822354036855407,0.7270619006102877,0.2054430183293768,0.01651779408252046,2
2,4,vanilla,0.0,0.0,-6.0,3.3387295358467224,0.7534205172914852,0.19996726225751935,0.017425082664851734,4
2,4,causal,0.0,0.0,-6.0,3.3387295358467224,0.7534205172914852,0.19996726225751935,0.017425082664851734,4
2,6,vanilla,0.0,0.0,-11.0,4.437877089552776,0.7714435172499687,0.19392804865008006,0.017373622647451403,6
2,6,causal,0.0,0.0,-11.0,4.437877089552776,0.7714435172499687,0.19392804865008006,0.017373622647451403,6
2,8,vanilla,0.0,0.0,-6.0,4.9004780946441855,0.7731008427782621,0.19286029063728516,0.01677013493441815,8
2,8,causal,0.0533669923120631,4.616244834993458,-6.0,4.900478094832237,0.7731008427782621,0.19286029063715973,0.016770134932584103,8
2,10,vanilla,0.0,0.0,-8.0,5.858063552857513,0.7818823431726658,0.18974841394575512,0.016137769146301353,10
2,10,causal,0.023101297000831605,1.9982621905719338,-6.0,4.610351737310188,0.776708182837215,0.19191337538777806,0.02247823274422549,10
3,2,vanilla,0.0,0.0,-2.0,1.9164562869996322,0.7351729148503341,0.20167856189953576,0.008426533487417244,2
3,2,causal,0.0,0.0,-2.0,1.9164562869996322,0.7351729148503341,0.20167856189953576,0.008426533487417244,2
