split,k,arm,feature,coef
3,4,vanilla,x4_le_52,3
3,4,vanilla,x15_le_0,3
3,4,causal,x1_le_63,4
3,4,causal,x1_le_74,5
3,4,causal,x4_le_52,3
3,4,causal,x15_le_0,3
3,6,vanilla,x1_le_63,2
3,6,vanilla,x1_le_74,3
3,6,vanilla,x4_le_52,3
3,6,vanilla,x8_le_95,2
3,6,vanilla,x15_le_0,2
3,6,vanilla,x22_le_0,-2
3,6,causal,x1_le_63,2
3,6,causal,x1_le_74,3
3,6,causal,x4_le_52,3
3,6,causal,x8_le_95,2
3,6,causal,x15_le_0,2
3,6,causal,x22_le_0,-2
3,8,vanilla,x1_le_63,3
3,8,vanilla,x1_le_74,4
3,8,vanilla,x4_le_52,3
3,8,vanilla,x4_le_81,2
3,8,vanilla,x5_le_12,2
3,8,vanilla,x8_le_95,3
3,8,vanilla,x15_le_0,3
3,8,vanilla,x22_le_0,-3
3,8,causal,x1_le_63,3
3,8,causal,x1_le_74,4
3,8,causal,x4_le_52,3
3,8,causal,x4_le_81,2
3,8,causal,x5_le_12,2
3,8,causal,x8_le_95,3
3,8,causal,x15_le_0,3
3,8,causal,x22_le_0,-3
3,10,vanilla,x1_le_63,3
3,10,vanilla,x1_le_74,4
3,10,vanilla,x4_le_52,4
3,10,vanilla,x4_le_81,3
3,10,vanilla,x5_le_12,3
3,10,vanilla,x8_le_95,3
3,10,vanilla,x10_le_4,3
3,10,vanilla,x15_le_0,5
3,10,vanilla,x18_le_36,-3
3,10,vanilla,x22_le_0,-3
3,10,causal,x1_le_63,3
3,10,causal,x1_le_74,4
3,10,causal,x4_le_52,4
3,10,causal,x4_le_81,3
3,10,causal,x5_le_12,3
3,10,causal,x8_le_95,3
3,10,causal,x10_le_4,3
3,10,causal,x15_le_0,5
3,10,causal,x18_le_36,-3
3,10,causal,x22_le_0,-3
4,2,vanilla,x1_le_63,2
4,2,vanilla,x1_le_74,3
4,2,causal,x1_le_63,2
4,2,causal,x1_le_74,3
4,4,vanilla,x1_le_63,3
4,4,vanilla,x1_le_74,4
4,4,vanilla,x4_le_70,2
4,4,vanilla,x15_le_0,2
4,4,causal,x1_le_63,3
4,4,causal,x1_le_74,4
4,4,causal,x4_le_70,2
4,4,causal,x15_le_0,2
4,6,vanilla,x1_le_63,4
4,6,vanilla,x1_le_74,4
4,6,vanilla,x1_le_81,4
4,6,vanilla,x4_le_81,2
4,6,vanilla,x5_le_18,3
4,6,vanilla,x15_le_0,3
4,6,causal,x1_le_63,4
4,6,causal,x1_le_74,4
4,6,causal,x1_le_81,4
4,6,causal,x4_le_81,2
4,6,causal,x5_le_18,3
4,6,causal,x15_le_0,3
4,8,vanilla,x1_le_63,3
4,8,vanilla,x1_le_69,3
4,8,vanilla,x1_le_74,3
4,8,vanilla,x1_le_81,4
4,8,vanilla,x4_le_81,3
4,8,vanilla,x5_le_18,3
4,8,vanilla,x15_le_0,4
4,8,vanilla,x18_le_35,-2
4,8,causal,x1_le_63,3
4,8,causal,x1_le_69,3
4,8,causal,x1_le_74,3
4,8,causal,x1_le_81,4
4,8,causal,x4_le_81,3
4,8,causal,x5_le_18,3
4,8,causal,x15_le_0,4
4,8,causal,x18_le_35,-2
4,10,vanilla,x1_le_63,3
4,10,vanilla,x1_le_74,4
4,10,vanilla,x1_le_81,3
4,10,vanilla,x4_le_53,3
4,10,vanilla,x4_le_81,3
4,10,vanilla,x5_le_12,3
4,10,vanilla,x8_le_95,3
4,10,vanilla,x9_le_20,2
4,10,vanilla,x15_le_0,4
4,10,vanilla,x18_le_35,-3
4,10,causal,x1_le_63,4
4,10,causal,x1_le_74,4
4,10,causal,x1_le_81,3
4,10,causal,x4_le_53,3
4,10,causal,x4_le_81,3
4,10,causal,x5_le_12,3
4,10,causal,x8_le_95,3
4,10,causal,x9_le_15,2
4,10,causal,x15_le_0,4
4,10,causal,x18_le_35,-3
5,2,vanilla,x1_le_69.2,4
5,2,vanilla,x1_le_74,5
5,2,causal,x1_le_69.2,4
5,2,causal,x1_le_74,5
5,4,vanilla,x1_le_69.2,5
5,4,vanilla,x1_le_81,5
5,4,vanilla,x5_le_22,2
5,4,vanilla,x15_le_0,3
5,4,causal,x1_le_69.2,5
5,4,causal,x1_le_81,5
5,4,causal,x5_le_22,2
5,4,causal,x15_le_0,3
5,6,vanilla,x1_le_63,3
5,6,vanilla,x1_le_69.2,3
5,6,vanilla,x1_le_74,4
5,6,vanilla,x1_le_81,5
5,6,vanilla,x5_le_17,3
5,6,vanilla,x15_le_0,3
5,6,causal,x1_le_63,3
5,6,causal,x1_le_69.2,3
5,6,causal,x1_le_74,4
5,6,causal,x1_le_81,5
5,6,causal,x5_le_17,3
5,6,causal,x15_le_0,3
5,8,vanilla,x1_le_69.2,4
5,8,vanilla,x1_le_74,4
5,8,vanilla,x1_le_81,4
5,8,vanilla,x4_le_81,3
5,8,vanilla,x5_le_12,4
5,8,vanilla,x9_le_11,3
5,8,vanilla,x15_le_0,4
5,8,vanilla,x18_le_36,-3
5,8,causal,x1_le_63,3
5,8,causal,x1_le_69.2,3
5,8,causal,x1_le_74,3
5,8,causal,x1_le_81,4
5,8,causal,x5_le_17,3
5,8,causal,x15_le_0,3
5,8,causal,x18_le_36,-2
5,8,causal,x22_missing,2
5,10,vanilla,x1_le_69.2,3
5,10,vanilla,x1_le_74,3
5,10,vanilla,x1_le_81,3
5,10,vanilla,x4_le_81,2
5,10,vanilla,x5_le_12,2
5,10,vanilla,x5_le_22,2
5,10,vanilla,x9_le_11,2
5,10,vanilla,x14_le_48,-2
5,10,vanilla,x15_le_0,3
5,10,vanilla,x18_le_36,-3
5,10,causal,x1_le_69.2,3
5,10,causal,x1_le_74,3
5,10,causal,x1_le_81,3
5,10,causal,x4_le_81,2
5,10,causal,x5_le_12,2
5,10,causal,x5_le_22,2
5,10,causal,x9_le_11,2
5,10,causal,x14_le_48,-2
5,10,causal,x15_le_0,3
5,10,causal,x18_le_36,-3
6,2,vanilla,x1_le_69,5
6,2,vanilla,x1_le_81,5
6,2,causal,x1_le_69,4
6,2,causal,x1_le_74,5
6,4,vanilla,x1_le_69,4
6,4,vanilla,x1_le_81,5
6,4,vanilla,x5_le_22,2
6,4,vanilla,x15_le_0,2
6,4,causal,x1_le_69,4
6,4,causal,x1_le_81,5
6,4,causal,x5_le_22,2
6,4,causal,x15_le_0,2
6,6,vanilla,x1_le_69,4
6,6,vanilla,x1_le_81,3
6,6,vanilla,x4_le_81,2
6,6,vanilla,x5_le_12,2
6,6,vanilla,x15_le_0,2
