seed,arm,mu_rel,auc_source,auc_SD
0,vanilla,0.0,0.6832844574780057,0.5427807486631016
0,causal,1.0,0.7155425219941348,0.5307486631016043
0,causal,4.0,0.7019794721407624,0.4411764705882353
0,causal_ce,1.0,0.7232404692082112,0.4679144385026738
0,causal_ce,4.0,0.7078445747800587,0.4385026737967914
0,causal_icp,1.0,0.6766862170087976,0.5106951871657754
0,causal_icp,4.0,0.6766862170087976,0.5106951871657754
0,cfs_iamb,,0.6598240469208212,0.5628342245989305
0,cfs_hiton_mb,,0.6184017595307918,0.4826203208556149
0,cfs_cg,,0.6085043988269794,0.5
1,vanilla,0.0,0.5559259259259259,0.5628342245989306
1,causal,1.0,0.5577777777777778,0.44117647058823534
1,causal,4.0,0.5692592592592592,0.4385026737967914
1,causal_ce,1.0,0.5674074074074074,0.48930481283422467
1,causal_ce,4.0,0.6007407407407408,0.4371657754010695
1,causal_icp,1.0,0.5992592592592593,0.5414438502673797
1,causal_icp,4.0,0.5992592592592593,0.5414438502673797
1,cfs_iamb,,0.5407407407407407,0.5200534759358288
1,cfs_hiton_mb,,0.5433333333333333,0.43983957219251335
1,cfs_cg,,0.5444444444444444,0.5
