arm,member,nfeat,q_mass,auc,support
vanilla,42,10,0.355,0.7722435338564371,"[""x1"", ""x12"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x8""]"
vanilla,43,10,0.31199999999999994,0.771360484908872,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8"", ""x9""]"
vanilla,44,10,0.357,0.7717806285548221,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,45,10,0.313,0.7709959729314566,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,46,10,0.371,0.7714729937310583,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,47,10,0.35900000000000004,0.7703350354963258,"[""x1"", ""x15"", ""x18"", ""x22"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
vanilla,48,10,0.352,0.77168887781791,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
vanilla,49,10,0.33099999999999996,0.7667555112716403,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
causal,0,10,0.357,0.7734686760493212,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
causal,1,10,0.349,0.7703628513305933,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9""]"
causal,2,10,0.404,0.7695483040644331,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,3,10,0.368,0.7699427076846431,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,4,10,0.351,0.7741437289824387,"[""x1"", ""x14"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,5,10,0.404,0.7694416075061237,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,6,10,0.35,0.7720903391871135,"[""x1"", ""x11"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,7,10,0.404,0.7695723834433512,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,8,10,0.404,0.7702457757296467,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,9,10,0.368,0.7724253746834393,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,10,10,0.357,0.7727911321459708,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
causal,11,10,0.449,0.7718620002490971,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,12,10,0.352,0.7745788184497862,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,13,10,0.40800000000000003,0.7718433179723503,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,14,10,0.449,0.7714194378710508,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,15,10,0.355,0.7716805745838005,"[""x1"", ""x15"", ""x17"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,16,10,0.404,0.7678482168804749,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,17,10,0.42299999999999993,0.7682716818200689,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,18,10,0.404,0.7684983601112633,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,19,10,0.404,0.7674878565201145,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,20,10,0.40800000000000003,0.7727716195458131,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,21,10,0.40800000000000003,0.7723792917341304,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,22,10,0.352,0.7709208286627641,"[""x1"", ""x15"", ""x18"", ""x19"", ""x22_missing"", ""x4"", ""x5""]"
causal,23,10,0.449,0.7701980321335161,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,24,10,0.39599999999999996,0.7717694191887741,"[""x1"", ""x15"", ""x18"", ""x22"", ""x22_missing"", ""x4"", ""x5""]"
causal,25,10,0.404,0.7691127994353801,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,26,10,0.38099999999999995,0.7729542906962261,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,27,10,0.43599999999999994,0.7721011333914559,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x6""]"
causal,28,10,0.39599999999999996,0.7739959314152863,"[""x1"", ""x15"", ""x18"", ""x22"", ""x22_missing"", ""x4"", ""x5""]"
causal,29,10,0.396,0.7707751069041391,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,30,10,0.404,0.7696388093162286,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,31,10,0.42299999999999993,0.7694436833146512,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,32,9,0.3877777777777778,0.7724988583053098,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5""]"
causal,33,10,0.46299999999999997,0.7684352555320298,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,34,10,0.40599999999999997,0.7719213683729813,"[""x1"", ""x14"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,35,10,0.46299999999999997,0.7682874579648773,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,36,10,0.404,0.7702449454062357,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9"", ""x9_missing""]"
causal,37,9,0.3466666666666667,0.7715107734462574,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
causal,38,10,0.449,0.7723082990824927,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,39,9,0.3466666666666667,0.7712039689459046,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x8""]"
causal,40,10,0.42299999999999993,0.7672358533648856,"[""x1"", ""x10"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,41,10,0.449,0.7737862747540167,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,42,10,0.46299999999999997,0.7692734670154024,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,43,10,0.449,0.7733752646655873,"[""x1"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,44,10,0.46299999999999997,0.7702889525470171,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,45,10,0.44699999999999995,0.7712969651679328,"[""x1"", ""x12"", ""x15"", ""x18"", ""x22_missing"", ""x4"", ""x9_missing""]"
causal,46,10,0.46299999999999997,0.7697185203636817,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,47,10,0.46299999999999997,0.7708963341221406,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,48,10,0.46299999999999997,0.7687599119857184,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
causal,49,10,0.46299999999999997,0.768495453979325,"[""x1"", ""x15"", ""x16"", ""x18"", ""x22_missing"", ""x4"", ""x5"", ""x9_missing""]"
