auc_vanilla,auc_causal,auc_iamb_soft_cg,auc_iamb_soft_fz,auc_cfs_iamb,auc_cfs_hiton_mb,auc_cfs_cg
0.6666399999999999,0.6666399999999999,0.6666399999999999,0.67104,0.54616,0.54616,0.69792
0.7395200000000001,0.7296,0.7296,0.75,0.58544,0.58544,0.7296
0.68416,0.68416,0.71176,0.69328,0.5815199999999999,0.5815199999999999,0.7192000000000001
0.6619200000000001,0.6360000000000001,0.65272,0.6781600000000001,0.52576,0.52576,0.65272
0.75368,0.7641600000000001,0.75368,0.7499199999999999,0.6181599999999999,0.6181599999999999,0.7784
0.71584,0.71304,0.71584,0.71584,0.58688,0.58688,0.76528
0.69528,0.70936,0.69264,0.67856,0.58512,0.58512,0.7114400000000001
0.70584,0.7112799999999999,0.71112,0.70584,0.59216,0.57544,0.68512
0.74112,0.73456,0.72488,0.7228000000000001,0.62864,0.62864,0.72488
0.6759999999999999,0.7069599999999999,0.71536,0.6759999999999999,0.5624,0.5624,0.66616
0.69976,0.7077599999999998,0.69976,0.69976,0.55128,0.55128,0.66648
0.6800799999999999,0.6800799999999999,0.68,0.6800799999999999,0.5900799999999999,0.5900799999999999,0.6856
0.65256,0.6528800000000001,0.6528800000000001,0.68864,0.5660000000000001,0.5660000000000001,0.6528800000000001
0.76288,0.7515200000000001,0.752,0.76288,0.6095200000000001,0.6095200000000001,0.7515200000000001
0.68296,0.66592,0.67184,0.68296,0.65368,0.65368,0.67184
0.73136,0.76688,0.76448,0.73136,0.53944,0.5768,0.7564
0.69048,0.69048,0.69048,0.7017599999999999,0.56664,0.56664,0.7103200000000001
0.746,0.74416,0.7491199999999999,0.71616,0.55848,0.55848,0.766
0.6648,0.6502399999999999,0.6648,0.6648,0.5829599999999999,0.5829599999999999,0.67104
0.69344,0.6926399999999999,0.67336,0.69344,0.63656,0.63408,0.7005600000000001
0.68624,0.69688,0.69688,0.69504,0.56816,0.56816,0.70056
0.63368,0.66656,0.63368,0.63168,0.6096,0.6096,0.6732800000000001
0.6283200000000001,0.64384,0.6283200000000001,0.6283200000000001,0.50056,0.50056,0.63152
0.71688,0.7264000000000002,0.7264000000000002,0.71688,0.61232,0.61232,0.7264000000000002
0.69784,0.7095199999999999,0.7173599999999999,0.69784,0.5584,0.5584,0.7173599999999999
