param,value,seed,method,edges,sd,sc,shd,fpr,tpr,f1,tp,mcc,shd-nm,f1_bin_bin,f1_bin_cont,precision_bin_bin,precision_bin_cont,recall_bin_bin,recall_bin_cont
p_graph,0.4,4,ges_cg,mut_0->mut_6;mut_0->mut_7;mut_7->mut_8;mut_8->mut_1,0.6,0.6765079365079365,0.37777777777777777,0.011363636363636364,0.16666666666666666,0.26666666666666666,2,0.29584579066572636,0.00130718954248366,0.22222222222222224,0.0,0.5,0.0,0.14285714285714285,0.0
p_graph,0.4,4,empty,,0.6888888888888889,0.7902116402116401,0.37777777777777777,0.0,0.0,0.0,0,1,0.00130718954248366,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,5,cmm_logistic,mut_0->Y;mut_3->mut_7;mut_4->Y;mut_5->mut_1;mut_8->Y;mut_8->mut_3,0.6888888888888889,0.6631216931216931,0.4222222222222222,0.0,0.36363636363636365,0.5333333333333333,4,0.5806214017078704,0.0009574200050390527,0.09523809523809525,1.0,0.3333333333333333,1.0,0.05555555555555555,1.0
p_graph,0.4,5,pc_pillai,mut_5->mut_1;mut_8->mut_3,0.9111111111111111,0.8260846560846561,0.5111111111111111,0.0,0.0,0.0,0,1,0.0011589821113630638,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,5,ges_cg,mut_2->mut_4;mut_5->mut_1;mut_7->mut_3;mut_8->mut_2;mut_8->mut_3,0.8666666666666667,0.7131216931216932,0.5333333333333333,0.011235955056179775,0.0,0.0,0,-0.03533326266687867,0.0012093726379440665,0.08695652173913045,0.0,0.2,0.0,0.05555555555555555,0.0
p_graph,0.4,5,empty,,0.9555555555555556,0.8705291005291005,0.4666666666666667,0.0,0.0,0.0,0,1,0.0010582010582010583,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,6,cmm_logistic,mut_2->mut_1;mut_4->mut_3;mut_6->mut_5;mut_7->Y,0.6,0.49407407407407405,0.3333333333333333,0.01098901098901099,0.0,0.0,0,-0.0316069770620507,0.0019723865877712033,0.125,0.0,0.3333333333333333,0.0,0.07692307692307693,0.0
p_graph,0.4,6,pc_pillai,mut_2->mut_1;mut_4->mut_3;mut_6->mut_5;mut_7->Y,0.6,0.49407407407407405,0.3333333333333333,0.01098901098901099,0.0,0.0,0,-0.0316069770620507,0.0019723865877712033,0.125,0.0,0.3333333333333333,0.0,0.07692307692307693,0.0
p_graph,0.4,6,ges_cg,mut_1->mut_2;mut_2->mut_3;mut_4->mut_3;mut_6->mut_2;mut_6->mut_5;mut_7->Y,0.5777777777777777,0.4437037037037037,0.4222222222222222,0.03296703296703297,0.0,0.0,0,-0.05530639088956956,0.0024983563445101905,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,6,empty,,0.8,0.5385185185185185,0.28888888888888886,0.0,0.0,0.0,0,1,0.0017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,7,cmm_logistic,mut_5->mut_0;mut_6->Y;mut_6->mut_3;mut_7->mut_1;mut_8->mut_2,0.6222222222222222,0.571137566137566,0.28888888888888886,0.0,0.16666666666666666,0.2857142857142857,1,0.39780542762657006,0.001473922902494331,0.25,0.6666666666666666,0.5,1.0,0.16666666666666666,0.5
p_graph,0.4,7,pc_pillai,mut_6->Y;mut_7->mut_1;mut_8->mut_2,0.6888888888888889,0.6044708994708995,0.28888888888888886,0.0,0.16666666666666666,0.2857142857142857,1,0.39780542762657006,0.001473922902494331,0.14285714285714285,0.6666666666666666,0.5,1.0,0.08333333333333333,0.5
p_graph,0.4,7,ges_cg,mut_6->Y;mut_6->mut_3;mut_7->mut_1;mut_8->mut_2,0.6444444444444445,0.571137566137566,0.26666666666666666,0.0,0.16666666666666666,0.2857142857142857,1,0.39780542762657006,0.0013605442176870747,0.26666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.5
p_graph,0.4,7,empty,,0.7333333333333333,0.6711375661375661,0.3111111111111111,0.0,0.0,0.0,0,1,0.0015873015873015873,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,8,cmm_logistic,mut_3->mut_1;mut_4->mut_5;mut_7->mut_6,0.4222222222222222,0.41888888888888887,0.2222222222222222,0.010752688172043012,0.0,0.0,0,-0.02757337634153148,0.0027434842249657062,0.16666666666666666,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0
p_graph,0.4,8,pc_pillai,mut_3->mut_1;mut_5->mut_4;mut_7->mut_6,0.4222222222222222,0.41888888888888887,0.2222222222222222,0.0,0.0,0.0,0,1,0.0027434842249657062,0.16666666666666666,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0
p_graph,0.4,8,ges_cg,mut_3->mut_1;mut_5->mut_4;mut_7->mut_6,0.4222222222222222,0.41888888888888887,0.2222222222222222,0.0,0.0,0.0,0,1,0.0027434842249657062,0.16666666666666666,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0
p_graph,0.4,8,empty,,0.4444444444444444,0.43740740740740747,0.2,0.0,0.0,0.0,0,1,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,9,cmm_logistic,mut_1->mut_3;mut_2->mut_6;mut_5->mut_8,0.5777777777777777,0.5765343915343916,0.4222222222222222,0.03260869565217391,0.0,0.0,0,-0.05185920324305064,0.0016493055555555556,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.4,9,pc_pillai,mut_6->mut_2;mut_8->mut_5,0.6444444444444445,0.5987566137566138,0.35555555555555557,0.0,0.0,0.0,0,1,0.001388888888888889,0.1111111111111111,0.0,0.5,0.0,0.0625,0.0
p_graph,0.4,9,ges_cg,mut_3->mut_0;mut_3->mut_1;mut_6->mut_2;mut_7->mut_6;mut_8->mut_5,0.6,0.540978835978836,0.37777777777777777,0.0,0.0,0.0,0,1,0.0014756944444444444,0.19047619047619047,0.0,0.4,0.0,0.125,0.0
p_graph,0.4,9,empty,,0.6444444444444445,0.6246825396825397,0.35555555555555557,0.0,0.0,0.0,0,1,0.001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0
p_graph,0.6,0,cmm_logistic,mut_0->Y;mut_0->mut_8;mut_1->Y;mut_6->Y;mut_7->Y;mut_7->mut_8;mut_8->mut_5,0.7333333333333333,0.6680158730158731,0.5333333333333333,0.0,0.3157894736842105,0.48,6,0.5216478327053429,0.0006341656757827982,0.14285714285714285,1.0,0.6666666666666666,1.0,0.08,1.0
p_graph,0.6,0,pc_pillai,mut_0->mut_8;mut_5->mut_8;mut_7->mut_8,0.9111111111111111,0.853447971781305,0.5777777777777777,0.0,0.15789473684210525,0.2727272727272727,3,0.36311188932217414,0.0006870128154313648,0.21428571428571425,0.0,1.0,0.0,0.12,0.0
p_graph,0.6,0,ges_cg,mut_0->mut_8;mut_6->Y;mut_7->mut_8;mut_8->mut_5,0.9111111111111111,0.8324603174603176,0.6,0.0,0.15789473684210525,0.2727272727272727,3,0.36311188932217414,0.000713436385255648,0.14285714285714285,0.4,0.6666666666666666,1.0,0.08,0.25
p_graph,0.6,0,empty,,0.9777777777777777,0.9534479717813051,0.6444444444444445,0.0,0.0,0.0,0,1,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0
