rep,arm,k,auc,n,p
3,causal,4,0.8537061951438273,581,11
3,iamb_soft_cg,4,0.8537061951438273,581,11
3,iamb_soft_fz,4,0.8537061951438273,581,11
3,cfs_iamb,4,0.8353513998334294,581,11
3,cfs_hiton_mb,4,0.8360240886667947,581,11
3,cfs_cg,4,0.8246844769043502,581,11
3,vanilla,6,0.8550836056121469,581,11
3,causal,6,0.8550836056121469,581,11
3,iamb_soft_cg,6,0.8550836056121469,581,11
3,iamb_soft_fz,6,0.8550836056121469,581,11
3,cfs_iamb,6,0.8353513998334294,581,11
3,cfs_hiton_mb,6,0.8360240886667947,581,11
3,cfs_cg,6,0.8246844769043502,581,11
3,vanilla,8,0.8520404894612085,581,11
3,causal,8,0.8520404894612085,581,11
3,iamb_soft_cg,8,0.8520404894612085,581,11
3,iamb_soft_fz,8,0.8520404894612085,581,11
3,cfs_iamb,8,0.8353513998334294,581,11
3,cfs_hiton_mb,8,0.8360240886667947,581,11
3,cfs_cg,8,0.8246844769043502,581,11
3,vanilla,10,0.8603690178743034,581,11
3,causal,10,0.8603690178743034,581,11
3,iamb_soft_cg,10,0.8603690178743034,581,11
3,iamb_soft_fz,10,0.8603690178743034,581,11
3,cfs_iamb,10,0.8353513998334294,581,11
3,cfs_hiton_mb,10,0.8360240886667947,581,11
3,cfs_cg,10,0.8246844769043502,581,11
4,vanilla,2,0.8155230956499455,581,11
4,causal,2,0.8155230956499455,581,11
4,iamb_soft_cg,2,0.8155230956499455,581,11
4,iamb_soft_fz,2,0.8155230956499455,581,11
4,cfs_iamb,2,0.8060413863796527,581,11
4,cfs_hiton_mb,2,0.8060413863796527,581,11
4,cfs_cg,2,0.8155230956499455,581,11
4,vanilla,4,0.858575180985329,581,11
4,causal,4,0.858575180985329,581,11
4,iamb_soft_cg,4,0.858575180985329,581,11
4,iamb_soft_fz,4,0.858575180985329,581,11
4,cfs_iamb,4,0.8207124095073355,581,11
4,cfs_hiton_mb,4,0.8196553270549043,581,11
4,cfs_cg,4,0.8155230956499455,581,11
4,vanilla,6,0.8638285604458966,581,11
4,causal,6,0.8609135755013134,581,11
4,iamb_soft_cg,6,0.8638285604458966,581,11
4,iamb_soft_fz,6,0.8638285604458966,581,11
4,cfs_iamb,6,0.8205842783009802,581,11
4,cfs_hiton_mb,6,0.8196553270549043,581,11
4,cfs_cg,6,0.8155230956499455,581,11
4,vanilla,8,0.8633480684220642,581,11
4,causal,8,0.863924658850663,581,11
4,iamb_soft_cg,8,0.8638285604458966,581,11
4,iamb_soft_fz,8,0.8633480684220642,581,11
4,cfs_iamb,8,0.8205842783009802,581,11
4,cfs_hiton_mb,8,0.8196553270549043,581,11
4,cfs_cg,8,0.8155230956499455,581,11
4,vanilla,10,0.8634121340252419,581,11
4,causal,10,0.8603690178743032,581,11
4,iamb_soft_cg,10,0.864148888461785,581,11
4,iamb_soft_fz,10,0.8634121340252419,581,11
