seed,arm,mu_rel,auc_source,auc_TX,auc_FL
0,vanilla,0.0,0.6909677701191367,0.7310215243285755,0.7308844891140321
0,causal,0.5,0.6913543049915678,0.7304394501865958,0.7312035664105997
0,causal,1.0,0.6913543049915678,0.7304394501865958,0.7312035664105997
0,causal,2.0,0.6971118217119396,0.7395532393106631,0.7246165820806448
0,causal,4.0,0.6927574211686268,0.7425621106868703,0.727866025291688
0,causal,8.0,0.6927574211686268,0.7425621106868703,0.727866025291688
0,causal,16.0,0.6927574211686268,0.7425621106868703,0.727866025291688
0,causal,32.0,0.6927574211686268,0.7425621106868703,0.727866025291688
0,causal_ce,0.5,0.6929722942542023,0.7443298954477228,0.7321823600781738
0,causal_ce,1.0,0.6929722942542023,0.7443298954477228,0.7321823600781738
0,causal_ce,2.0,0.6939025205847063,0.7386931417291185,0.7268479484708673
0,causal_ce,4.0,0.6928005310323734,0.7357770537334475,0.7261763407330949
0,causal_ce,8.0,0.6899139959908841,0.7463325245279727,0.7359280017997145
0,causal_ce,16.0,0.6899139959908841,0.7463325245279727,0.7359280017997145
0,causal_ce,32.0,0.6899139959908841,0.7463325245279727,0.7359280017997145
0,causal_icp,0.5,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,1.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,2.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,4.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,8.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,16.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,causal_icp,32.0,0.6919980451451903,0.7362915550026304,0.7257603279759255
0,cfs_iamb,,0.6862113151524443,0.746144507501569,0.7313376103386968
0,cfs_hiton_mb,,0.6827883243476599,0.7517793010079084,0.7290657115076689
0,cfs_cg,,0.6416028849188442,0.6780830517978468,0.6764745919433537
1,vanilla,0.0,0.7013361454360243,0.751001462139548,0.7461926477561152
1,causal,0.5,0.7005110970420817,0.7561200761869151,0.7493137719763107
1,causal,1.0,0.6947708524224939,0.7601535294766538,0.7479236976914996
1,causal,2.0,0.6969854807752363,0.746633911195954,0.7365453843936816
1,causal,4.0,0.6969854807752363,0.746633911195954,0.7365453843936816
1,causal,8.0,0.6969854807752363,0.746633911195954,0.7365453843936816
1,causal,16.0,0.6969854807752363,0.746633911195954,0.7365453843936816
1,causal,32.0,0.6969854807752363,0.746633911195954,0.7365453843936816
1,causal_ce,0.5,0.7010181468291672,0.7336521295683553,0.7300238473767884
1,causal_ce,1.0,0.7010181468291672,0.7336521295683553,0.7300238473767884
1,causal_ce,2.0,0.6942202374985704,0.7415320207917766,0.7326307886834202
1,causal_ce,4.0,0.6942202374985704,0.7415320207917766,0.7326307886834202
1,causal_ce,8.0,0.6942202374985704,0.7415320207917766,0.7326307886834202
1,causal_ce,16.0,0.6942202374985704,0.7415320207917766,0.7326307886834202
1,causal_ce,32.0,0.6942202374985704,0.7415320207917766,0.7326307886834202
1,causal_icp,0.5,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,1.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,2.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,4.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,8.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,16.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,causal_icp,32.0,0.6946655027783196,0.743344713629587,0.7329428964568283
1,cfs_iamb,,0.6898382099730683,0.745570995027825,0.736482488680631
1,cfs_hiton_mb,,0.6904538028364265,0.7546222380930072,0.7458274063537221
1,cfs_cg,,0.6469093056544118,0.6813729489282451,0.6873369034669344
2,vanilla,0.0,0.6990669980258827,0.7472858131392398,0.7427233557882074
2,causal,0.5,0.6990669980258827,0.7472858131392398,0.7427233557882074
2,causal,1.0,0.6892568597042267,0.7451147547133566,0.7368567687153432
2,causal,2.0,0.6881839988406697,0.7335964324765202,0.7249832686588218
2,causal,4.0,0.6881839988406697,0.7335964324765202,0.7249832686588218
2,causal,8.0,0.6881839988406697,0.7335964324765202,0.7249832686588218
2,causal,16.0,0.6881839988406697,0.7335964324765202,0.7249832686588218
2,causal,32.0,0.6881839988406697,0.7335964324765202,0.7249832686588218
2,causal_ce,0.5,0.6954955322817695,0.7381351783691669,0.7310454298542785
2,causal_ce,1.0,0.6906424715191469,0.7392207345323608,0.7290708633117405
2,causal_ce,2.0,0.6873204392537906,0.7429700536342361,0.7299276880483156
2,causal_ce,4.0,0.6873204392537906,0.7429700536342361,0.7299276880483156
2,causal_ce,8.0,0.6856538019440132,0.7408891168520897,0.7301933341827462
2,causal_ce,16.0,0.6856538019440132,0.7408891168520897,0.7301933341827462
2,causal_ce,32.0,0.6849844648679435,0.7343105063618227,0.7262006846049199
2,causal_icp,0.5,0.6899304001530828,0.736889376005716,0.7277121210757058
