rep,arm,k,auc,n,p
3,causal,4,0.7108730158730159,700,61
3,iamb_soft_cg,4,0.7106613756613758,700,61
3,iamb_soft_fz,4,0.701031746031746,700,61
3,cfs_iamb,4,0.6925925925925926,700,61
3,cfs_hiton_mb,4,0.6906084656084657,700,61
3,cfs_cg,4,0.6993386243386244,700,61
3,vanilla,6,0.7223809523809525,700,61
3,causal,6,0.7195502645502645,700,61
3,iamb_soft_cg,6,0.7252910052910053,700,61
3,iamb_soft_fz,6,0.7201058201058201,700,61
3,cfs_iamb,6,0.7057936507936509,700,61
3,cfs_hiton_mb,6,0.7024074074074076,700,61
3,cfs_cg,6,0.6993386243386244,700,61
3,vanilla,8,0.7143121693121692,700,61
3,causal,8,0.7425396825396824,700,61
3,iamb_soft_cg,8,0.737962962962963,700,61
3,iamb_soft_fz,8,0.7045767195767195,700,61
3,cfs_iamb,8,0.7066137566137566,700,61
3,cfs_hiton_mb,8,0.7048148148148148,700,61
3,cfs_cg,8,0.6993386243386244,700,61
3,vanilla,10,0.7200000000000001,700,61
3,causal,10,0.7384920634920634,700,61
3,iamb_soft_cg,10,0.7472222222222223,700,61
3,iamb_soft_fz,10,0.7334391534391534,700,61
3,cfs_iamb,10,0.710026455026455,700,61
3,cfs_hiton_mb,10,0.7071428571428571,700,61
3,cfs_cg,10,0.6993386243386244,700,61
4,vanilla,2,0.7333862433862435,700,61
4,causal,2,0.7333862433862435,700,61
4,iamb_soft_cg,2,0.7333862433862435,700,61
4,iamb_soft_fz,2,0.7333862433862435,700,61
4,cfs_iamb,2,0.7191005291005292,700,61
4,cfs_hiton_mb,2,0.7191005291005292,700,61
4,cfs_cg,2,0.692936507936508,700,61
4,vanilla,4,0.7370899470899472,700,61
4,causal,4,0.7381746031746032,700,61
4,iamb_soft_cg,4,0.7457407407407407,700,61
4,iamb_soft_fz,4,0.7370899470899472,700,61
4,cfs_iamb,4,0.7258994708994708,700,61
4,cfs_hiton_mb,4,0.7258994708994708,700,61
4,cfs_cg,4,0.7272751322751323,700,61
4,vanilla,6,0.7294708994708996,700,61
4,causal,6,0.7550793650793651,700,61
4,iamb_soft_cg,6,0.7476719576719576,700,61
4,iamb_soft_fz,6,0.706031746031746,700,61
4,cfs_iamb,6,0.7319576719576719,700,61
4,cfs_hiton_mb,6,0.7319576719576719,700,61
4,cfs_cg,6,0.7272751322751323,700,61
4,vanilla,8,0.7507936507936508,700,61
4,causal,8,0.7450529100529101,700,61
4,iamb_soft_cg,8,0.7442857142857143,700,61
4,iamb_soft_fz,8,0.6967195767195767,700,61
4,cfs_iamb,8,0.7385714285714285,700,61
4,cfs_hiton_mb,8,0.7385714285714285,700,61
4,cfs_cg,8,0.7272751322751323,700,61
4,vanilla,10,0.765978835978836,700,61
4,causal,10,0.7506349206349205,700,61
4,iamb_soft_cg,10,0.7464021164021165,700,61
4,iamb_soft_fz,10,0.7289682539682539,700,61
4,cfs_iamb,10,0.7470899470899471,700,61
4,cfs_hiton_mb,10,0.7406084656084657,700,61
4,cfs_cg,10,0.7272751322751323,700,61
5,vanilla,2,0.7027777777777777,700,61
5,causal,2,0.7027777777777777,700,61
5,iamb_soft_cg,2,0.7027777777777777,700,61
5,iamb_soft_fz,2,0.7027777777777777,700,61
5,cfs_iamb,2,0.650952380952381,700,61
5,cfs_hiton_mb,2,0.650952380952381,700,61
5,cfs_cg,2,0.6416666666666667,700,61
5,vanilla,4,0.6722222222222223,700,61
5,causal,4,0.6974338624338625,700,61
5,iamb_soft_cg,4,0.6974338624338625,700,61
5,iamb_soft_fz,4,0.7000000000000001,700,61
5,cfs_iamb,4,0.6612169312169311,700,61
